,country,date,exactDate
0,Albania,2020-04-12,2020-03-13
1,Andorra,2020-04-06,
2,Armenia,2020-03-21,2020-03-24
3,Austria,2020-03-21,2020-03-16
4,Azerbaijan,2020-04-03,2020-03-31
5,Belarus,2020-05-01,
6,Belgium,2020-04-04,2020-03-18
7,Bosnia and Herzegovina,2020-04-30,
8,Bulgaria,2020-05-14,
9,Croatia,2020-03-30,2020-03-18
10,Cyprus,2020-04-07,
11,Czechia,2020-03-29,
12,Denmark,2020-04-04,2020-03-11
13,Estonia,2020-03-28,
14,Finland,2020-04-02,2020-03-27
15,France,2020-03-31,2020-03-17
16,Georgia,2020-04-20,2020-03-31
17,Germany,2020-03-29,2020-03-23
18,Greece,2020-03-31,2020-03-23
19,Hungary,2020-04-20,2020-03-28
20,Iceland,2020-04-01,
21,Ireland,2020-04-08,2020-03-12
22,Italy,2020-03-21,2020-03-09
23,Kazakhstan,2020-04-26,
24,Kosovo,2020-04-27,2020-03-14
25,Latvia,2020-03-25,
26,Liechtenstein,2020-03-26,
27,Lithuania,2020-03-26,2020-03-16
28,Luxembourg,2020-03-27,2020-03-18
29,Malta,2020-03-31,
30,Moldova,2020-04-07,
31,Montenegro,2020-04-10,2020-03-24
32,Netherlands,2020-04-03,2020-03-16
33,North Macedonia,2020-04-05,
34,Norway,2020-03-22,2020-03-12
35,Poland,2020-04-04,2020-03-13
36,Portugal,2020-03-27,2020-03-19
37,Romania,2020-04-02,2020-03-25
38,Russia,2020-04-24,2020-03-30
39,San Marino,2020-05-03,2020-03-14
40,Serbia,2020-04-12,2020-03-15
41,Slovakia,2020-04-16,2020-03-16
42,Slovenia,2020-04-05,
43,Spain,2020-03-29,2020-03-14
44,Sweden,2020-04-11,
45,Switzerland,2020-03-21,2020-03-17
46,Turkey,2020-04-06,2020-04-23
47,Ukraine,2020-05-04,2020-03-17
48,United Kingdom,2020-04-02,2020-03-23
